Seed,Scenario,Augmentation,Model,Class,Precision,Recall,F1-Score,Support,TotalSamples
1674292617,Test2,SMOTENC,RF-5ep-s1674292617,DoS slowloris,0.9965337954939342,0.9919493962047153,0.9942363112391931,1739.0,5796
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,BENIGN,0.9993337774816788,1.0,0.9996667777407531,15000.0,50000
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,DoS Slowhttptest,0.9963636363636363,0.9963636363636363,0.9963636363636363,1650.0,5499
1674292617,Test2,SMOTENC,XGB-5ep-s1674292617,DoS slowloris,0.9971081550028918,0.9913743530764807,0.994232987312572,1739.0,5796
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,BENIGN,0.9460390355912744,0.9888,0.9669469978486211,15000.0,50000
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,DoS Slowhttptest,0.6771694214876033,0.7945454545454546,0.7311767986614612,1650.0,5499
1674292617,Test2,SMOTENC,MLP-10ep-s1674292617,DoS slowloris,0.7380645161290322,0.32892466935020126,0.45505171042163883,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,BENIGN,0.9946733950098122,0.9461333333333334,0.9697963646303129,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,DoS Slowhttptest,0.8283624085537422,0.8921212121212121,0.8590604026845637,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-10ep-s1674292617,DoS slowloris,0.6919795221843004,0.9327199539965497,0.7945138378643155,1739.0,5796
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,DoS Slowhttptest,0.9957575757575757,0.9957575757575757,0.9957575757575757,1650.0,5499
1674292617,Test2,SMOTENC,RF-10ep-s1674292617,DoS slowloris,0.9965337954939342,0.9919493962047153,0.9942363112391931,1739.0,5796
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,BENIGN,0.9993337774816788,1.0,0.9996667777407531,15000.0,50000
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,DoS Slowhttptest,0.9963636363636363,0.9963636363636363,0.9963636363636363,1650.0,5499
1674292617,Test2,SMOTENC,XGB-10ep-s1674292617,DoS slowloris,0.9971081550028918,0.9913743530764807,0.994232987312572,1739.0,5796
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,BENIGN,0.9535797064125676,0.9874,0.9701952050307874,15000.0,50000
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,DoS Slowhttptest,0.8457598178713717,0.9006060606060606,0.872321690636924,1650.0,5499
1674292617,Test2,SMOTENC,MLP-15ep-s1674292617,DoS slowloris,0.9309090909090909,0.5888441633122484,0.7213807678760127,1739.0,5796
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,BENIGN,0.9970628415300546,0.9731333333333333,0.9849527665317139,15000.0,50000
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,DoS Slowhttptest,0.8708983324367939,0.9812121212121212,0.9227700199487033,1650.0,5499
1674292617,Test2,SMOTENC,LogReg-15ep-s1674292617,DoS slowloris,0.8703703703703703,0.9459459459459459,0.9065858363185451,1739.0,5796
1674292617,Test2,SMOTENC,RF-15ep-s1674292617,BENIGN,0.9992670575692963,0.9998,0.9995334577446015,15000.0,50000
